horizon_events,train_runs,validation_runs,test_runs,train_all_rows,validation_all_rows,test_all_rows,train_nonflat_rows,validation_nonflat_rows,test_nonflat_rows,train_nonflat_share,validation_nonflat_share,test_nonflat_share,train_up_share_nonflat,validation_up_share_nonflat,test_up_share_nonflat
50,36,36,34,102983,103138,97306,64598,52174,45954,0.6272685783090413,0.5058659272043282,0.4722627587199145,0.5186538282918975,0.49275501207497985,0.5052661357009183
100,36,36,34,101183,101338,95606,76144,66555,59814,0.7525374815927577,0.6567625175156407,0.6256301905738133,0.5378887371296491,0.49568026444294194,0.5014043534958371
