label_spec,deadzone_type,deadzone_value,run_name,horizon,total_rows,up_count,down_count,flat_count,unknown_count,nonflat_count,up_share_total,down_share_total,flat_share_total,nonflat_share_total,up_share_nonflat
current_tick_deadzone_0_5,ticks,0.5,20260704_125643,1,2912,18,29,2864,1,47,0.006181318681318681,0.009958791208791208,0.9835164835164835,0.016140109890109892,0.3829787234042553
current_tick_deadzone_0_5,ticks,0.5,20260704_130157,1,2913,9,19,2884,1,28,0.003089598352214212,0.006522485410230003,0.9900446275317542,0.009612083762444216,0.32142857142857145
current_tick_deadzone_0_5,ticks,0.5,20260704_130711,1,2912,13,14,2884,1,27,0.004464285714285714,0.004807692307692308,0.9903846153846154,0.009271978021978022,0.48148148148148145
current_tick_deadzone_0_5,ticks,0.5,20260704_131225,1,2912,19,26,2866,1,45,0.006524725274725275,0.008928571428571428,0.9842032967032966,0.015453296703296704,0.4222222222222222
current_tick_deadzone_0_5,ticks,0.5,20260704_131740,1,2913,46,9,2857,1,55,0.01579128046687264,0.003089598352214212,0.9807758324751116,0.01888087881908685,0.8363636363636363
current_tick_deadzone_0_5,ticks,0.5,20260704_132254,1,2913,33,12,2867,1,45,0.01132852729145211,0.004119464469618949,0.9842087195331274,0.015447991761071062,0.7333333333333333
current_tick_deadzone_0_5,ticks,0.5,20260704_132808,1,2913,20,12,2880,1,32,0.006865774116031583,0.004119464469618949,0.9886714727085479,0.010985238585650533,0.625
current_tick_deadzone_0_5,ticks,0.5,20260704_133321,1,2912,67,21,2823,1,88,0.02300824175824176,0.007211538461538462,0.9694368131868132,0.03021978021978022,0.7613636363636364
current_tick_deadzone_0_5,ticks,0.5,20260704_133834,1,2913,47,83,2782,1,130,0.01613456917267422,0.028492962581531067,0.9550291795399931,0.04462753175420529,0.36153846153846153
current_tick_deadzone_0_5,ticks,0.5,20260704_134349,1,2912,30,15,2866,1,45,0.010302197802197802,0.005151098901098901,0.9842032967032966,0.015453296703296704,0.6666666666666666
current_tick_deadzone_0_5,ticks,0.5,20260704_134903,1,2912,23,17,2871,1,40,0.007898351648351648,0.005837912087912088,0.9859203296703297,0.013736263736263736,0.575
current_tick_deadzone_0_5,ticks,0.5,20260704_135418,1,2913,18,47,2847,1,65,0.006179196704428424,0.01613456917267422,0.9773429454170958,0.022313765877102643,0.27692307692307694
current_tick_deadzone_0_5,ticks,0.5,20260704_135929,1,2913,50,68,2794,1,118,0.017164435290078956,0.02334363199450738,0.9591486440096121,0.040508067284586335,0.423728813559322
current_tick_deadzone_0_5,ticks,0.5,20260704_140444,1,2913,48,44,2820,1,92,0.016477857878475798,0.015104703055269482,0.9680741503604532,0.03158256093374528,0.5217391304347826
current_tick_deadzone_0_5,ticks,0.5,20260704_141000,1,2913,29,30,2853,1,59,0.009955372468245795,0.010298661174047374,0.9794026776519053,0.020254033642293168,0.4915254237288136
current_tick_deadzone_0_5,ticks,0.5,20260704_141515,1,2913,14,10,2888,1,24,0.004806041881222108,0.0034328870580157913,0.9914177823549605,0.008238928939237899,0.5833333333333334
current_tick_deadzone_0_5,ticks,0.5,20260704_142028,1,2913,25,35,2852,1,60,0.008582217645039478,0.012015104703055269,0.9790593889461037,0.02059732234809475,0.4166666666666667
current_tick_deadzone_0_5,ticks,0.5,20260704_142541,1,2912,15,19,2877,1,34,0.005151098901098901,0.006524725274725275,0.9879807692307693,0.011675824175824176,0.4411764705882353
current_tick_deadzone_0_5,ticks,0.5,20260704_143056,1,2912,20,36,2855,1,56,0.006868131868131868,0.012362637362637362,0.9804258241758241,0.019230769230769232,0.35714285714285715
current_tick_deadzone_0_5,ticks,0.5,20260704_143609,1,2913,36,54,2822,1,90,0.012358393408856848,0.018537590113285273,0.9687607277720564,0.030895983522142123,0.4
current_tick_deadzone_0_5,ticks,0.5,20260704_144124,1,2913,20,16,2876,1,36,0.006865774116031583,0.0054926192928252664,0.9872983178853416,0.012358393408856848,0.5555555555555556
current_tick_deadzone_0_5,ticks,0.5,20260704_144638,1,2913,28,17,2867,1,45,0.009612083762444216,0.005835907998626845,0.9842087195331274,0.015447991761071062,0.6222222222222222
current_tick_deadzone_0_5,ticks,0.5,20260704_145150,1,2913,27,16,2869,1,43,0.009268795056642637,0.0054926192928252664,0.9848952969447305,0.014761414349467903,0.627906976744186
current_tick_deadzone_0_5,ticks,0.5,20260704_145704,1,2913,4,12,2896,1,16,0.0013731548232063166,0.004119464469618949,0.9941640920013731,0.0054926192928252664,0.25
cost_aware_bps_deadzone_1_0,bps,1.0,20260704_125643,1,2912,2,2,2907,1,4,0.0006868131868131869,0.0006868131868131869,0.998282967032967,0.0013736263736263737,0.5
cost_aware_bps_deadzone_1_0,bps,1.0,20260704_130157,1,2913,1,0,2911,1,1,0.00034328870580157915,0.0,0.9993134225883968,0.00034328870580157915,1.0
cost_aware_bps_deadzone_1_0,bps,1.0,20260704_130711,1,2912,0,1,2910,1,1,0.0,0.00034340659340659343,0.9993131868131868,0.00034340659340659343,0.0
cost_aware_bps_deadzone_1_0,bps,1.0,20260704_131225,1,2912,1,0,2910,1,1,0.00034340659340659343,0.0,0.9993131868131868,0.00034340659340659343,1.0
cost_aware_bps_deadzone_1_0,bps,1.0,20260704_131740,1,2913,1,0,2911,1,1,0.00034328870580157915,0.0,0.9993134225883968,0.00034328870580157915,1.0
cost_aware_bps_deadzone_1_0,bps,1.0,20260704_132254,1,2913,0,2,2910,1,2,0.0,0.0006865774116031583,0.9989701338825953,0.0006865774116031583,0.0
cost_aware_bps_deadzone_1_0,bps,1.0,20260704_132808,1,2913,0,1,2911,1,1,0.0,0.00034328870580157915,0.9993134225883968,0.00034328870580157915,0.0
cost_aware_bps_deadzone_1_0,bps,1.0,20260704_133321,1,2912,2,5,2904,1,7,0.0006868131868131869,0.001717032967032967,0.9972527472527473,0.002403846153846154,0.2857142857142857
cost_aware_bps_deadzone_1_0,bps,1.0,20260704_133834,1,2913,14,10,2888,1,24,0.004806041881222108,0.0034328870580157913,0.9914177823549605,0.008238928939237899,0.5833333333333334
cost_aware_bps_deadzone_1_0,bps,1.0,20260704_134349,1,2912,2,0,2909,1,2,0.0006868131868131869,0.0,0.9989697802197802,0.0006868131868131869,1.0
cost_aware_bps_deadzone_1_0,bps,1.0,20260704_134903,1,2912,1,0,2910,1,1,0.00034340659340659343,0.0,0.9993131868131868,0.00034340659340659343,1.0
cost_aware_bps_deadzone_1_0,bps,1.0,20260704_135418,1,2913,0,4,2908,1,4,0.0,0.0013731548232063166,0.9982835564709921,0.0013731548232063166,0.0
cost_aware_bps_deadzone_1_0,bps,1.0,20260704_135929,1,2913,2,4,2906,1,6,0.0006865774116031583,0.0013731548232063166,0.9975969790593889,0.0020597322348094747,0.3333333333333333
cost_aware_bps_deadzone_1_0,bps,1.0,20260704_140444,1,2913,3,2,2907,1,5,0.0010298661174047373,0.0006865774116031583,0.9979402677651905,0.0017164435290078957,0.6
cost_aware_bps_deadzone_1_0,bps,1.0,20260704_141000,1,2913,2,0,2910,1,2,0.0006865774116031583,0.0,0.9989701338825953,0.0006865774116031583,1.0
cost_aware_bps_deadzone_1_0,bps,1.0,20260704_141515,1,2913,2,0,2910,1,2,0.0006865774116031583,0.0,0.9989701338825953,0.0006865774116031583,1.0
cost_aware_bps_deadzone_1_0,bps,1.0,20260704_142028,1,2913,0,3,2909,1,3,0.0,0.0010298661174047373,0.9986268451767937,0.0010298661174047373,0.0
cost_aware_bps_deadzone_1_0,bps,1.0,20260704_142541,1,2912,2,0,2909,1,2,0.0006868131868131869,0.0,0.9989697802197802,0.0006868131868131869,1.0
cost_aware_bps_deadzone_1_0,bps,1.0,20260704_143056,1,2912,1,0,2910,1,1,0.00034340659340659343,0.0,0.9993131868131868,0.00034340659340659343,1.0
cost_aware_bps_deadzone_1_0,bps,1.0,20260704_143609,1,2913,3,0,2909,1,3,0.0010298661174047373,0.0,0.9986268451767937,0.0010298661174047373,1.0
cost_aware_bps_deadzone_1_0,bps,1.0,20260704_144124,1,2913,2,0,2910,1,2,0.0006865774116031583,0.0,0.9989701338825953,0.0006865774116031583,1.0
cost_aware_bps_deadzone_1_0,bps,1.0,20260704_144638,1,2913,0,1,2911,1,1,0.0,0.00034328870580157915,0.9993134225883968,0.00034328870580157915,0.0
cost_aware_bps_deadzone_1_0,bps,1.0,20260704_145150,1,2913,2,0,2910,1,2,0.0006865774116031583,0.0,0.9989701338825953,0.0006865774116031583,1.0
cost_aware_bps_deadzone_1_0,bps,1.0,20260704_145704,1,2913,0,0,2912,1,0,0.0,0.0,0.9996567112941984,0.0,
cost_aware_bps_deadzone_2_0,bps,2.0,20260704_125643,1,2912,0,0,2911,1,0,0.0,0.0,0.9996565934065934,0.0,
cost_aware_bps_deadzone_2_0,bps,2.0,20260704_130157,1,2913,0,0,2912,1,0,0.0,0.0,0.9996567112941984,0.0,
cost_aware_bps_deadzone_2_0,bps,2.0,20260704_130711,1,2912,0,0,2911,1,0,0.0,0.0,0.9996565934065934,0.0,
cost_aware_bps_deadzone_2_0,bps,2.0,20260704_131225,1,2912,0,0,2911,1,0,0.0,0.0,0.9996565934065934,0.0,
