imbalance_5_bucket,future_mid_return_1e_bps_count,future_mid_return_1e_bps_mean,future_mid_return_1e_bps_median,future_mid_return_1e_bps_std,future_mid_return_5e_bps_count,future_mid_return_5e_bps_mean,future_mid_return_5e_bps_median,future_mid_return_5e_bps_std,future_mid_return_10e_bps_count,future_mid_return_10e_bps_mean,future_mid_return_10e_bps_median,future_mid_return_10e_bps_std
"(-1.001, -0.692]",1023,-0.16315106256285125,0.0,0.3370260803410015,1020,-0.4367603930384602,-0.1813017074103751,0.7087244516337128,1012,-0.5770119691291442,-0.4359694607047881,0.9579835144744057
"(-0.692, -0.318]",1021,-0.03476586547337008,0.0,0.23611474437785088,1008,-0.12000975318456394,0.0,0.7190370682902271,995,-0.15424166877507742,0.0,1.1122611210466626
"(-0.318, 0.19]",1021,-0.008159298249384725,0.0,0.18032111296931996,1015,-0.024097884040838766,0.0,0.7366648011958512,1009,-0.10964724031785957,0.0,1.142942063775665
"(0.19, 0.628]",1023,0.03158283071236168,0.0,0.2107757047371458,1012,0.1561557301185174,0.0,0.7717076463890888,996,0.28407305800644994,0.0,1.230865835917152
"(0.628, 1.0]",1023,0.15147151909825468,0.0,0.38334737451191747,1020,0.32778805296828323,0.0,0.8746736198100338,1018,0.38811742450535763,0.2580713841582316,1.262161604952004
