run_name,rows,rows_with_trades,share_rows_with_trades,total_trades_assigned,total_buy_trades,total_sell_trades,total_trade_volume,total_buy_trade_volume,total_sell_trade_volume,total_signed_trade_volume,mean_trade_imbalance,mean_trade_imbalance_rolling_20e,collection_batch,regime
20260707_191538,2910,1650,0.5670103092783505,17039.0,8628.0,8411.0,1184.701,558.41,626.2909999999999,-67.88099999999996,0.0364666420709886,-0.0007183326196428,weekday_active_tue_day28,Tuesday Day 28
20260707_192054,2912,1663,0.5710851648351648,14166.0,7120.0,7046.0,1159.689,591.7689999999999,567.92,23.848999999999958,0.0242728226749586,0.0057274933516951,weekday_active_tue_day28,Tuesday Day 28
20260707_192609,2912,1633,0.560782967032967,11825.0,6785.0,5040.0,942.632,602.4879999999999,340.144,262.34399999999994,0.0818654193646443,0.1182776955852126,weekday_active_tue_day28,Tuesday Day 28
20260707_193125,2912,1828,0.6277472527472527,23781.0,9519.0,14262.0,2642.9549999999995,851.8219999999999,1791.1329999999998,-939.311,-0.0049722605064451,-0.0565541139758043,weekday_active_tue_day28,Tuesday Day 28
20260707_193640,2912,2233,0.7668269230769231,19628.0,10995.0,8633.0,1609.4929999999997,913.921,695.572,218.34900000000005,0.1415919603570567,0.148133173214856,weekday_active_tue_day28,Tuesday Day 28
20260707_194156,2911,1817,0.6241841291652354,13159.0,7244.0,5915.0,1067.926,595.756,472.17,123.58600000000004,0.0396458144928238,0.1084028279333428,weekday_active_tue_day28,Tuesday Day 28
20260707_194710,2912,2087,0.7166895604395604,17921.0,9963.0,7958.0,2157.731,1348.384,809.347,539.037,0.0320564925943242,0.0705906169248926,weekday_active_tue_day28,Tuesday Day 28
20260707_195223,2912,2134,0.7328296703296703,17951.0,9560.0,8391.0,1841.107,1082.212,758.895,323.317,-0.0212248173632181,0.0043233158635702,weekday_active_tue_day28,Tuesday Day 28
20260707_195737,2912,2295,0.7881181318681318,20676.0,10777.0,9899.0,2366.593,1300.844,1065.749,235.09500000000008,-0.0478702838827096,0.0241469295815653,weekday_active_tue_day28,Tuesday Day 28
20260707_200250,2909,2021,0.694740460639395,13625.0,6349.0,7276.0,1073.793,461.434,612.3589999999999,-150.92499999999998,-0.159747938585354,-0.1898802873341389,weekday_active_tue_day28,Tuesday Day 28
20260707_200806,2912,1673,0.5745192307692307,10894.0,5180.0,5714.0,973.739,459.58900000000006,514.15,-54.56100000000001,-0.0414717140010138,-0.0518820320184268,weekday_active_tue_day28,Tuesday Day 28
20260707_201320,2910,1705,0.5859106529209622,11045.0,5704.0,5341.0,830.101,397.764,432.337,-34.57299999999998,-0.0665148787687942,-0.1198018189693187,weekday_active_tue_day28,Tuesday Day 28
20260707_201836,2911,1765,0.6063208519409138,12995.0,6623.0,6372.0,1219.252,617.106,602.146,14.959999999999951,-0.0102758487097913,-0.026461599735068,weekday_active_tue_day28,Tuesday Day 28
20260707_202351,2912,1790,0.6146978021978022,10403.0,5160.0,5243.0,867.175,391.751,475.424,-83.673,-0.0941588943785323,-0.1942598109156935,weekday_active_tue_day28,Tuesday Day 28
