model,horizon,feature_set,n_features,status,error,accuracy,balanced_accuracy,precision_up,recall_up,f1_up,precision_down,recall_down,f1_down,n_obs,up_share,roc_auc
logit_dynamic_compact,20,"imbalance_5,microprice_deviation_bps,imbalance_5_change_1e,imbalance_5_change_5e,imbalance_5_change_10e,imbalance_5_rolling_mean_5e,imbalance_5_rolling_mean_10e,microprice_deviation_bps_change_1e,microprice_deviation_bps_change_5e,microprice_deviation_bps_change_10e,microprice_deviation_bps_rolling_mean_5e,microprice_deviation_bps_rolling_mean_10e,mid_return_bps_lag_1e,mid_return_bps_lag_2e,mid_return_bps_lag_5e,mid_return_bps_lag_10e,mid_return_bps_rolling_mean_5e,mid_return_bps_rolling_mean_10e,mid_return_bps_rolling_std_5e,mid_return_bps_rolling_std_10e,quote_changed_rolling_sum_5e,quote_changed_rolling_sum_10e,spread_bps_change_1e,spread_bps_change_5e,spread_bps_rolling_mean_5e,spread_bps_rolling_mean_10e,best_bid_qty_change_1e,best_ask_qty_change_1e,bid_depth_5_change_1e,ask_depth_5_change_1e",30,success,,0.5832762165867033,0.5823499417249418,0.6481481481481481,0.5889423076923077,0.6171284634760705,0.5135135135135135,0.5757575757575758,0.5428571428571428,1459,0.5702535983550377,0.6232843362777573
logit_dynamic_full,20,"spread_bps,event_gap_ms,transaction_lag_ms,best_bid_qty,best_ask_qty,bid_depth_5,ask_depth_5,bid_depth_10,ask_depth_10,imbalance_1,imbalance_5,imbalance_10,microprice_deviation_bps,quote_changed,imbalance_5_change_1e,imbalance_5_change_5e,imbalance_5_change_10e,imbalance_5_rolling_mean_5e,imbalance_5_rolling_mean_10e,microprice_deviation_bps_change_1e,microprice_deviation_bps_change_5e,microprice_deviation_bps_change_10e,microprice_deviation_bps_rolling_mean_5e,microprice_deviation_bps_rolling_mean_10e,mid_return_bps_lag_1e,mid_return_bps_lag_2e,mid_return_bps_lag_5e,mid_return_bps_lag_10e,mid_return_bps_rolling_mean_5e,mid_return_bps_rolling_mean_10e,mid_return_bps_rolling_std_5e,mid_return_bps_rolling_std_10e,quote_changed_rolling_sum_5e,quote_changed_rolling_sum_10e,spread_bps_change_1e,spread_bps_change_5e,spread_bps_rolling_mean_5e,spread_bps_rolling_mean_10e,best_bid_qty_change_1e,best_ask_qty_change_1e,bid_depth_5_change_1e,ask_depth_5_change_1e",42,success,,0.592871830020562,0.5895844834989572,0.6521739130434783,0.6129807692307693,0.6319702602230484,0.5243722304283605,0.5661881977671451,0.5444785276073619,1459,0.5702535983550377,0.6255961691816955
logit_signal_static,50,"imbalance_5,microprice_deviation_bps",2,success,,0.5164410058027079,0.5116715834248079,0.5980511571254568,0.5389681668496158,0.5669745958429562,0.4246575342465753,0.484375,0.45255474452554745,1551,0.5873629916183107,0.5325655186608124
logit_full_static,50,"spread_bps,event_gap_ms,transaction_lag_ms,best_bid_qty,best_ask_qty,bid_depth_5,ask_depth_5,bid_depth_10,ask_depth_10,imbalance_1,imbalance_5,imbalance_10,microprice_deviation_bps,quote_changed",14,success,,0.5239018087855297,0.5009451649390291,0.5879345603271984,0.6325632563256326,0.6094329623741388,0.41403508771929826,0.36932707355242567,0.3904052936311001,1548,0.5872093023255814,0.5314650400877334
logit_dynamic_compact,50,"imbalance_5,microprice_deviation_bps,imbalance_5_change_1e,imbalance_5_change_5e,imbalance_5_change_10e,imbalance_5_rolling_mean_5e,imbalance_5_rolling_mean_10e,microprice_deviation_bps_change_1e,microprice_deviation_bps_change_5e,microprice_deviation_bps_change_10e,microprice_deviation_bps_rolling_mean_5e,microprice_deviation_bps_rolling_mean_10e,mid_return_bps_lag_1e,mid_return_bps_lag_2e,mid_return_bps_lag_5e,mid_return_bps_lag_10e,mid_return_bps_rolling_mean_5e,mid_return_bps_rolling_mean_10e,mid_return_bps_rolling_std_5e,mid_return_bps_rolling_std_10e,quote_changed_rolling_sum_5e,quote_changed_rolling_sum_10e,spread_bps_change_1e,spread_bps_change_5e,spread_bps_rolling_mean_5e,spread_bps_rolling_mean_10e,best_bid_qty_change_1e,best_ask_qty_change_1e,bid_depth_5_change_1e,ask_depth_5_change_1e",30,success,,0.5507246376811594,0.5380762221892375,0.6174801362088536,0.6119235095613048,0.6146892655367232,0.45839874411302983,0.4642289348171701,0.46129541864139023,1518,0.5856389986824769,0.5578265355940205
logit_dynamic_full,50,"spread_bps,event_gap_ms,transaction_lag_ms,best_bid_qty,best_ask_qty,bid_depth_5,ask_depth_5,bid_depth_10,ask_depth_10,imbalance_1,imbalance_5,imbalance_10,microprice_deviation_bps,quote_changed,imbalance_5_change_1e,imbalance_5_change_5e,imbalance_5_change_10e,imbalance_5_rolling_mean_5e,imbalance_5_rolling_mean_10e,microprice_deviation_bps_change_1e,microprice_deviation_bps_change_5e,microprice_deviation_bps_change_10e,microprice_deviation_bps_rolling_mean_5e,microprice_deviation_bps_rolling_mean_10e,mid_return_bps_lag_1e,mid_return_bps_lag_2e,mid_return_bps_lag_5e,mid_return_bps_lag_10e,mid_return_bps_rolling_mean_5e,mid_return_bps_rolling_mean_10e,mid_return_bps_rolling_std_5e,mid_return_bps_rolling_std_10e,quote_changed_rolling_sum_5e,quote_changed_rolling_sum_10e,spread_bps_change_1e,spread_bps_change_5e,spread_bps_rolling_mean_5e,spread_bps_rolling_mean_10e,best_bid_qty_change_1e,best_ask_qty_change_1e,bid_depth_5_change_1e,ask_depth_5_change_1e",42,success,,0.546772068511199,0.5235424665716467,0.6035015447991761,0.6591676040494938,0.6301075268817204,0.4460694698354662,0.38791732909379967,0.41496598639455784,1518,0.5856389986824769,0.5561365640105798
logit_signal_static,100,"imbalance_5,microprice_deviation_bps",2,success,,0.5195173882185947,0.5108740108473371,0.6622162883845126,0.5391304347826087,0.5943678849610545,0.3575757575757576,0.48261758691206547,0.41079199303742386,1409,0.6529453513129879,0.5051191428825464
logit_full_static,100,"spread_bps,event_gap_ms,transaction_lag_ms,best_bid_qty,best_ask_qty,bid_depth_5,ask_depth_5,bid_depth_10,ask_depth_10,imbalance_1,imbalance_5,imbalance_10,microprice_deviation_bps,quote_changed",14,success,,0.5206258890469416,0.5033170827529554,0.6556122448979592,0.5599128540305011,0.6039952996474736,0.3504823151125402,0.44672131147540983,0.3927927927927928,1406,0.6529160739687055,0.4977499196399871
logit_dynamic_compact,100,"imbalance_5,microprice_deviation_bps,imbalance_5_change_1e,imbalance_5_change_5e,imbalance_5_change_10e,imbalance_5_rolling_mean_5e,imbalance_5_rolling_mean_10e,microprice_deviation_bps_change_1e,microprice_deviation_bps_change_5e,microprice_deviation_bps_change_10e,microprice_deviation_bps_rolling_mean_5e,microprice_deviation_bps_rolling_mean_10e,mid_return_bps_lag_1e,mid_return_bps_lag_2e,mid_return_bps_lag_5e,mid_return_bps_lag_10e,mid_return_bps_rolling_mean_5e,mid_return_bps_rolling_mean_10e,mid_return_bps_rolling_std_5e,mid_return_bps_rolling_std_10e,quote_changed_rolling_sum_5e,quote_changed_rolling_sum_10e,spread_bps_change_1e,spread_bps_change_5e,spread_bps_rolling_mean_5e,spread_bps_rolling_mean_10e,best_bid_qty_change_1e,best_ask_qty_change_1e,bid_depth_5_change_1e,ask_depth_5_change_1e",30,success,,0.5109011627906976,0.4970995517700888,0.650200267022697,0.5423162583518931,0.591378263509411,0.3444976076555024,0.45188284518828453,0.3909502262443439,1376,0.6526162790697675,0.48398113893263506
logit_dynamic_full,100,"spread_bps,event_gap_ms,transaction_lag_ms,best_bid_qty,best_ask_qty,bid_depth_5,ask_depth_5,bid_depth_10,ask_depth_10,imbalance_1,imbalance_5,imbalance_10,microprice_deviation_bps,quote_changed,imbalance_5_change_1e,imbalance_5_change_5e,imbalance_5_change_10e,imbalance_5_rolling_mean_5e,imbalance_5_rolling_mean_10e,microprice_deviation_bps_change_1e,microprice_deviation_bps_change_5e,microprice_deviation_bps_change_10e,microprice_deviation_bps_rolling_mean_5e,microprice_deviation_bps_rolling_mean_10e,mid_return_bps_lag_1e,mid_return_bps_lag_2e,mid_return_bps_lag_5e,mid_return_bps_lag_10e,mid_return_bps_rolling_mean_5e,mid_return_bps_rolling_mean_10e,mid_return_bps_rolling_std_5e,mid_return_bps_rolling_std_10e,quote_changed_rolling_sum_5e,quote_changed_rolling_sum_10e,spread_bps_change_1e,spread_bps_change_5e,spread_bps_rolling_mean_5e,spread_bps_rolling_mean_10e,best_bid_qty_change_1e,best_ask_qty_change_1e,bid_depth_5_change_1e,ask_depth_5_change_1e",42,success,,0.5196220930232558,0.5130764786461779,0.6639004149377593,0.534521158129176,0.5922270203578038,0.35987748851454826,0.4916317991631799,0.4155614500442087,1376,0.6526162790697675,0.48085238232799987
