evaluation_method,model,cost_scenario,round_trip_cost_bps,n_signals_or_trades,gross_mean_signed_return_bps,net_mean_signed_return_bps,net_median_signed_return_bps,net_positive_share
raw_selected_signal,logit_dynamic_compact,no_cost,0.0,2244,0.629954929038702,0.629954929038702,0.6179019556595833,0.5882352941176471
raw_selected_signal,logit_dynamic_compact,very_low_cost,1.0,2244,0.629954929038702,-0.37004507096129796,-0.3820980443404167,0.43493761140819964
raw_selected_signal,logit_dynamic_compact,low_cost,2.0,2244,0.629954929038702,-1.370045070961298,-1.3820980443404167,0.3181818181818182
raw_selected_signal,logit_dynamic_compact,medium_cost,3.0,2244,0.629954929038702,-2.370045070961298,-2.3820980443404167,0.22281639928698752
raw_selected_signal,logit_dynamic_compact,high_cost,4.0,2244,0.629954929038702,-3.370045070961298,-3.3820980443404167,0.14260249554367202
raw_selected_signal,logit_dynamic_compact,expensive_taker_like,5.0,2244,0.629954929038702,-4.3700450709612975,-4.382098044340417,0.09224598930481283
raw_selected_signal,logit_dynamic_compact,very_expensive_round_trip,9.0,2244,0.629954929038702,-8.370045070961297,-8.382098044340417,0.0066844919786096255
raw_selected_signal,xgboost_dynamic_full,no_cost,0.0,25878,0.12677527534020772,0.12677527534020772,0.03339547675063059,0.5058737151248165
raw_selected_signal,xgboost_dynamic_full,very_low_cost,1.0,25878,0.12677527534020772,-0.8732247246597923,-0.9666045232493694,0.3417961202565886
raw_selected_signal,xgboost_dynamic_full,low_cost,2.0,25878,0.12677527534020772,-1.8732247246597924,-1.9666045232493694,0.22884303269186182
raw_selected_signal,xgboost_dynamic_full,medium_cost,3.0,25878,0.12677527534020772,-2.8732247246597926,-2.9666045232493694,0.1555761650823093
raw_selected_signal,xgboost_dynamic_full,high_cost,4.0,25878,0.12677527534020772,-3.8732247246597926,-3.9666045232493694,0.09618208516886931
raw_selected_signal,xgboost_dynamic_full,expensive_taker_like,5.0,25878,0.12677527534020772,-4.873224724659792,-4.966604523249369,0.05827343689620527
raw_selected_signal,xgboost_dynamic_full,very_expensive_round_trip,9.0,25878,0.12677527534020772,-8.873224724659792,-8.96660452324937,0.007728572532653219
