run_name,n_signals,directional_precision,positive_net_signal_share,mean_gross_bps,mean_net_bps,median_net_bps,total_net_bps
20260721_190001,4,0.75,0.25,0.7791991452599234,-0.2208008547400766,-0.5057159335853925,-0.8832034189603064
20260721_190515,6,0.8333333333333334,0.5,0.49141517736162044,-0.5085848226383796,0.031923657447975096,-3.0515089358302774
20260721_191028,2,0.0,0.0,-0.8229234616941028,-1.8229234616941028,-1.8229234616941028,-3.6458469233882056
20260721_191543,2,0.5,0.0,-0.022804153144706518,-1.0228041531447065,-1.0228041531447065,-2.045608306289413
20260721_192058,5,0.8,0.4,1.4611421669423752,0.4611421669423752,-0.20491989567894464,2.305710834711876
20260721_192612,1,1.0,1.0,4.900018609566015,3.9000186095660148,3.9000186095660148,3.9000186095660148
20260721_194157,1,1.0,0.0,0.31402315247675006,-0.6859768475232499,-0.6859768475232499,-0.6859768475232499
20260721_194712,2,0.5,0.5,1.6346945077472252,0.6346945077472252,0.6346945077472252,1.2693890154944505
20260721_195738,2,0.5,0.0,0.09297764774152117,-0.9070223522584788,-0.9070223522584788,-1.8140447045169577
20260721_200254,3,0.6666666666666666,0.3333333333333333,0.23474421185998295,-0.765255788140017,-0.6549258953359995,-2.295767364420051
20260721_200807,1,1.0,1.0,2.1427378045624224,1.1427378045624224,1.1427378045624224,1.1427378045624224
20260721_201321,2,0.5,0.0,-0.18026541054538825,-1.1802654105453882,-1.1802654105453882,-2.3605308210907765
20260721_201837,1,0.0,0.0,-1.72464601640554,-2.72464601640554,-2.72464601640554,-2.72464601640554
20260721_202904,1,1.0,1.0,1.2925013131648289,0.29250131316482886,0.29250131316482886,0.29250131316482886
20260721_203930,2,1.0,0.5,1.5451715647074593,0.5451715647074593,0.5451715647074593,1.0903431294149186
20260721_210025,1,0.0,0.0,-1.1111252921414128,-2.1111252921414128,-2.1111252921414128,-2.1111252921414128
20260721_212635,1,1.0,1.0,2.105043157143438,1.105043157143438,1.105043157143438,1.105043157143438
