imbalance_1_bucket,future_mid_return_1e_bps,future_mid_return_5e_bps,future_mid_return_10e_bps
"(-1.001, -0.907]",-0.03860950042787858,-0.16703474983194713,-0.293714744471975
"(-0.907, -0.83]",-0.0016333487154087847,-0.030562882946471935,-0.10684466124048812
"(-0.83, -0.629]",-0.0003499122148988022,-0.005365320628431631,-0.005365320628431631
"(-0.629, -0.17]",0.004433679393092718,0.04410348952690304,0.1111920592908297
"(-0.17, 0.999]",0.00812317492868899,0.019180949081265553,0.015001646857553955
