model_variant,move_feature_set,move_threshold,direction_threshold,raw_n_signals,raw_n_signal_runs,raw_coverage,raw_directional_precision,raw_mean_signed_return_bps,raw_median_signed_return_bps,raw_mean_net_return_bps,raw_share_signed_return_ge_1bps,raw_up_signal_share,raw_down_signal_share,cooldown_n_signals,cooldown_n_signal_runs,cooldown_coverage,cooldown_directional_precision,cooldown_mean_signed_return_bps,cooldown_median_signed_return_bps,cooldown_mean_net_return_bps,cooldown_share_signed_return_ge_1bps,cooldown_up_signal_share,cooldown_down_signal_share,threshold_eligible
direction_only_book,none,0.0,0.7,1234,36,0.011964552347340457,0.6126418152350082,0.5814593651535536,0.4992748435528327,-0.4185406348464465,0.3500810372771475,0.8087520259319287,0.1912479740680713,338,36,0.003277162636467645,0.6804733727810651,0.9195351965844184,0.8105287982684839,-0.0804648034155817,0.46449704142011833,0.6094674556213018,0.3905325443786982,True
two_stage_move_book_only,book_only,0.5,0.7,1142,36,0.011072543582384766,0.5919439579684763,0.5695984403607797,0.4992748435528327,-0.4304015596392202,0.35814360770577935,0.8555166374781086,0.14448336252189142,334,36,0.003238379646686963,0.6736526946107785,0.8967931082379903,0.800340082177109,-0.10320689176200974,0.45808383233532934,0.6167664670658682,0.38323353293413176,True
two_stage_move_trade_flow_only,trade_flow_only,0.65,0.7,122,21,0.0011828811883108068,0.5901639344262295,0.7738966015524434,0.7778349450460187,-0.2261033984475567,0.45901639344262296,0.5901639344262295,0.4098360655737705,54,21,0.0005235703620392096,0.6296296296296297,1.073164774874665,0.8677043725890954,0.07316477487466537,0.46296296296296297,0.5185185185185185,0.48148148148148145,True
two_stage_move_combined,combined,0.5,0.7,1031,36,0.009996315615970836,0.5906886517943744,0.5912416302256475,0.4992748435528327,-0.4087583697743526,0.36566440349175555,0.8690591658583899,0.1309408341416101,279,36,0.002705113537202583,0.6666666666666666,0.9599663292910879,0.8110675027150904,-0.040033670708912096,0.4659498207885305,0.6917562724014337,0.30824372759856633,True
