horizon_events,label,count,share
1,down,17,0.03063063063063063
1,flat,533,0.9603603603603603
1,up,4,0.007207207207207207
1,unknown,1,0.0018018018018018018
5,down,63,0.11351351351351352
5,flat,479,0.863063063063063
5,up,8,0.014414414414414415
5,unknown,5,0.009009009009009009
10,down,106,0.19099099099099098
10,flat,426,0.7675675675675676
10,up,13,0.023423423423423424
10,unknown,10,0.018018018018018018
