evaluation_method,model,signal,n_trades_or_episodes,precision,mean_signed_return_bps,median_signed_return_bps,positive_signed_return_share,mean_future_return_bps
cooldown_first_signal,hist_gradient_boosting_dynamic_full,down,4,0.75,1.9086160941425567,2.795119983101113,0.75,-1.9086160941425567
cooldown_first_signal,hist_gradient_boosting_dynamic_full,up,13,0.7692307692307693,2.079106392630989,2.130893352825236,0.7692307692307693,2.079106392630989
cooldown_first_signal,hist_gradient_boosting_static_full,down,5,0.8,0.8271682066047781,0.4523720857330104,0.8,-0.8271682066047781
cooldown_first_signal,hist_gradient_boosting_static_full,up,6,1.0,2.7057200556435124,1.7923111848305862,1.0,2.7057200556435124
cooldown_first_signal,lightgbm_dynamic_compact,down,2,1.0,3.308893485631792,3.308893485631792,1.0,-3.308893485631792
cooldown_first_signal,lightgbm_dynamic_compact,up,10,0.9,2.8638714986448655,2.1076281017096132,0.9,2.8638714986448655
cooldown_first_signal,lightgbm_dynamic_full,down,2,0.5,-0.42458681891954786,-0.42458681891954786,0.5,0.42458681891954786
cooldown_first_signal,lightgbm_dynamic_full,up,11,0.9090909090909091,2.088550401317542,1.2436495137246872,0.9090909090909091,2.088550401317542
cooldown_first_signal,logit_dynamic_compact,down,6,0.5,-0.809927282286275,-0.3512663839472241,0.5,0.809927282286275
cooldown_first_signal,logit_dynamic_compact,up,17,0.7058823529411765,1.044196716814321,0.9035179925120927,0.7058823529411765,1.044196716814321
cooldown_first_signal,xgboost_dynamic_compact,down,2,0.5,-0.3595618653773336,-0.3595618653773336,0.5,0.3595618653773336
cooldown_first_signal,xgboost_dynamic_compact,up,10,0.9,2.580358699458607,1.7532378132090187,0.9,2.580358699458607
cooldown_first_signal,xgboost_dynamic_full,down,2,0.5,-0.7712804040838073,-0.7712804040838073,0.5,0.7712804040838073
cooldown_first_signal,xgboost_dynamic_full,up,9,1.0,2.4808703605690616,1.1629155909020916,1.0,2.4808703605690616
episode_first_signal,hist_gradient_boosting_dynamic_full,down,4,0.75,1.9086160941425567,2.795119983101113,0.75,-1.9086160941425567
episode_first_signal,hist_gradient_boosting_dynamic_full,up,9,0.8888888888888888,2.815891899009795,2.568628005314988,0.8888888888888888,2.815891899009795
episode_first_signal,hist_gradient_boosting_static_full,down,4,0.5,-0.5295931162230261,-0.9859596570471751,0.5,0.5295931162230261
episode_first_signal,hist_gradient_boosting_static_full,up,6,1.0,2.9363937715720656,2.3986636793027483,1.0,2.9363937715720656
episode_first_signal,lightgbm_dynamic_compact,down,2,1.0,3.308893485631792,3.308893485631792,1.0,-3.308893485631792
episode_first_signal,lightgbm_dynamic_compact,up,7,0.8571428571428571,2.6468202714572238,1.4537290168359362,0.8571428571428571,2.6468202714572238
episode_first_signal,lightgbm_dynamic_full,down,2,0.5,-0.42458681891954786,-0.42458681891954786,0.5,0.42458681891954786
episode_first_signal,lightgbm_dynamic_full,up,7,0.8571428571428571,2.1599254157091328,1.1629155909020916,0.8571428571428571,2.1599254157091328
episode_first_signal,logit_dynamic_compact,down,11,0.5454545454545454,0.2893322293261546,1.3230746641690327,0.5454545454545454,-0.2893322293261546
episode_first_signal,logit_dynamic_compact,up,11,0.9090909090909091,2.586790894115126,3.3770982646719183,0.9090909090909091,2.586790894115126
episode_first_signal,xgboost_dynamic_compact,down,2,0.5,-0.3595618653773336,-0.3595618653773336,0.5,0.3595618653773336
episode_first_signal,xgboost_dynamic_compact,up,8,0.875,2.4009436945918172,1.6240437284542608,0.875,2.4009436945918172
episode_first_signal,xgboost_dynamic_full,down,2,0.5,-0.7712804040838073,-0.7712804040838073,0.5,0.7712804040838073
episode_first_signal,xgboost_dynamic_full,up,8,1.0,2.820638481348947,1.502188532592763,1.0,2.820638481348947
