evaluation_method,model,run_name,n_signals_or_trades,precision,mean_signed_return_bps,median_signed_return_bps,positive_signed_return_share,up_count,down_count,total_signed_return_bps
cooldown_first_signal,hist_gradient_boosting_dynamic_full,20260701_191230,56,0.5714285714285714,0.5584577632573267,0.433865601984218,0.5714285714285714,56,0,31.273634742410295
cooldown_first_signal,hist_gradient_boosting_dynamic_full,20260701_191745,55,0.4727272727272727,0.13247196747027834,-0.3998870319121828,0.4727272727272727,55,0,7.285958210865308
cooldown_first_signal,hist_gradient_boosting_dynamic_full,20260701_192258,54,0.42592592592592593,-0.3056883111817876,-0.6179843539994012,0.42592592592592593,54,0,-16.50716880381653
cooldown_first_signal,hist_gradient_boosting_dynamic_full,20260701_192811,52,0.4423076923076923,-0.3137913741978301,-0.24247413396127904,0.4423076923076923,52,0,-16.317151458287164
cooldown_first_signal,hist_gradient_boosting_dynamic_full,20260701_193325,55,0.4727272727272727,0.03568998677755899,-0.03356310072644142,0.4727272727272727,55,0,1.9629492727657443
cooldown_first_signal,hist_gradient_boosting_dynamic_full,20260701_193836,55,0.5454545454545454,0.013269088818137317,0.23465581439507943,0.5454545454545454,55,0,0.7297998849975524
cooldown_first_signal,hist_gradient_boosting_dynamic_full,20260701_194351,55,0.5272727272727272,0.039432289137376515,0.05042309175751214,0.5272727272727272,55,0,2.1687759025557085
cooldown_first_signal,hist_gradient_boosting_dynamic_full,20260701_194906,55,0.5636363636363636,0.2755704469274978,0.11736508673809709,0.5636363636363636,55,0,15.156374581012379
cooldown_first_signal,hist_gradient_boosting_dynamic_full,20260701_195416,51,0.47058823529411764,-0.4582539677745445,-0.0672279641444895,0.47058823529411764,51,0,-23.37095235650177
cooldown_first_signal,hist_gradient_boosting_dynamic_full,20260701_195929,53,0.5849056603773585,0.7115510224904144,0.6048006047998378,0.5849056603773585,53,0,37.71220419199196
cooldown_first_signal,hist_gradient_boosting_dynamic_full,20260701_200443,55,0.4727272727272727,0.29805672228384994,-0.06673156311198802,0.4727272727272727,55,0,16.393119725611747
cooldown_first_signal,hist_gradient_boosting_dynamic_full,20260701_200954,55,0.5636363636363636,0.37244469111298206,0.5186110258370569,0.5636363636363636,55,0,20.484458011214013
cooldown_first_signal,lightgbm_dynamic_compact,20260701_191230,54,0.5740740740740741,0.48349049935367566,0.22562832598937987,0.5740740740740741,54,0,26.108486965098486
cooldown_first_signal,lightgbm_dynamic_compact,20260701_191745,52,0.46153846153846156,0.2871673508697548,-0.5001450717817546,0.46153846153846156,52,0,14.932702245227249
cooldown_first_signal,lightgbm_dynamic_compact,20260701_192258,52,0.36538461538461536,-0.43119378342506476,-0.7431341346580966,0.36538461538461536,52,0,-22.422076738103367
cooldown_first_signal,lightgbm_dynamic_compact,20260701_192811,49,0.4489795918367347,-0.20288140988336478,-0.31768404983645304,0.4489795918367347,49,0,-9.941189084284874
cooldown_first_signal,lightgbm_dynamic_compact,20260701_193325,51,0.47058823529411764,0.2167891239136499,-0.08391972239341072,0.47058823529411764,51,0,11.056245319596146
cooldown_first_signal,lightgbm_dynamic_compact,20260701_193836,52,0.5961538461538461,0.08913390622544283,0.4693156462387549,0.5961538461538461,52,0,4.634963123723027
cooldown_first_signal,lightgbm_dynamic_compact,20260701_194351,53,0.49056603773584906,0.0845979614340641,-0.1847772132734793,0.49056603773584906,53,0,4.483691956005398
cooldown_first_signal,lightgbm_dynamic_compact,20260701_194906,53,0.5660377358490566,0.24222137020556692,0.31833820753890407,0.5660377358490566,53,0,12.837732620895046
cooldown_first_signal,lightgbm_dynamic_compact,20260701_195416,49,0.3877551020408163,-0.3451849607871025,-0.08385455929849073,0.3877551020408163,49,0,-16.91406307856802
cooldown_first_signal,lightgbm_dynamic_compact,20260701_195929,52,0.5769230769230769,0.6205177342971019,0.6133610080771845,0.5769230769230769,52,0,32.266922183449296
cooldown_first_signal,lightgbm_dynamic_compact,20260701_200443,53,0.5471698113207547,0.20351556177181052,0.25070175599939404,0.5471698113207547,53,0,10.786324773905957
cooldown_first_signal,lightgbm_dynamic_compact,20260701_200954,51,0.6078431372549019,0.6670550312139772,0.7522309917495917,0.6078431372549019,51,0,34.01980659191284
cooldown_first_signal,logit_dynamic_compact,20260701_191230,40,0.575,0.41387123527780734,0.5674146390499679,0.575,21,19,16.554849411112293
cooldown_first_signal,logit_dynamic_compact,20260701_191745,36,0.6666666666666666,1.8712738980860815,2.4006445740154536,0.6666666666666666,20,16,67.36586033109893
cooldown_first_signal,logit_dynamic_compact,20260701_192258,35,0.5428571428571428,0.48559940235394705,0.30035065939459926,0.5428571428571428,16,19,16.995979082388146
cooldown_first_signal,logit_dynamic_compact,20260701_192811,33,0.6060606060606061,0.7537573010831261,0.5182997427721769,0.6060606060606061,12,21,24.873990935743162
cooldown_first_signal,logit_dynamic_compact,20260701_193325,34,0.5588235294117647,0.27989105034323886,0.5709309909562865,0.5588235294117647,20,14,9.516295711670121
cooldown_first_signal,logit_dynamic_compact,20260701_193836,31,0.5483870967741935,0.22486215547267188,0.31847747651969627,0.5483870967741935,16,15,6.970726819652828
cooldown_first_signal,logit_dynamic_compact,20260701_194351,33,0.696969696969697,1.4457812899361,0.6890472577181228,0.696969696969697,16,17,47.7107825678913
